team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2017,Finland,3,2,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,0,0,0,67,5,2,3,7,5,2,4,1,1,1,3,0,54,45,90,134,180,90,1,1,0,2,1,1,0,0,0,2,2,0,11,7,4,1,0,1,49,48,50,19,8,11,7,4,3,12,4,8,25,9,16,3,3,0,0,0,0,3,3,0,2,2,0,1,0,1,0,0,0,2.33,3,1,2.33,2.5,2,1.67,2,1,0.67,0.5,1,1,1.5,0,1,1.5,0,0,0,0,3,3,1,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,2,3,3,3,0,0,1,2,2,2,0,0,1,1,1,1,100,100,33,0,0,0,100,100,50,0,0,0,100,100,0,0,0,0,0,0,67,100,100,100,0,0,50,100,100,100,0,0,100,100,100,100,2,1,0,2,1,0,0,0,0,67,33,0,100,50,0,0,0,0,33,50,0,23,33,50,0,67,50,100,0,0,0,67,100,0,3,2,1,100,100,100,1,0,1,33,0,100,0,0,0,0,0,0,67,100,0,33,0,100,0,0,0,5.50,7.00,4.00,0.33,0,1.00,100,100,100,100,50,50,50,50,0.00,0.00,0.00,0.00,0.00,0.00,33,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,67,50,100,0,0,0,0
Iceland National Team,Iceland,2017,Iceland,4,1,3,0,1,0,1,1,0,1,2,1,1,1,0,1.33,0,0,0,80,3,4,-1,7,3,4,1,2,2,2,-1,0,120,90,134,90,45,134,1,0,1,2,1,1,1,0,1,2,0,2,4,1,3,5,2,3,48,45,50,25,15,10,11,5,6,14,10,4,36,11,25,2,0,2,2,1,1,0,-1,1,2,0,2,0,0,0,2,1,1,1.5,0,2,1.75,3,1.33,0.75,1,0.67,1,2,0.67,1,1,1,0.5,0,0.67,0.5,1,0.33,4,2,1,0,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,2,3,4,4,4,0,0,0,1,1,1,0,2,3,3,3,3,100,50,25,0,0,0,100,100,100,0,0,0,100,33,0,0,0,0,0,50,75,100,100,100,0,0,0,100,100,100,0,67,100,100,100,100,4,0,0,1,0,0,3,0,0,100,0,0,100,0,0,100,0,0,25,0,33,-34,25,0,33,50,100,33,25,0,33,50,0,67,2,0,2,50,0,67,2,1,1,50,100,33,0,0,0,0,0,0,50,0,67,0,0,0,50,100,33,1.33,1.00,1.50,1.25,2,1.00,67,33,33,0,0,0,0,0,1.28,1.76,0.79,2.12,1.87,2.36,25,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,25,0,33,50,100,33,0
Belarus National Team,Belarus,2017,Belarus,5,1,4,0,1,1,0,1,0,1,3,0,3,0.8,3,0.25,0,0,0,86,4,10,-6,14,1,13,1,3,0,10,1,-7,113,90,120,45,0,36,1,1,0,2,0,2,2,0,2,2,1,1,19,7,12,11,1,10,47,50,47,52,13,39,26,6,20,26,7,19,104,20,84,1,0,1,5,0,5,-4,0,-4,0,0,0,2,1,1,3,0,3,0.4,1,0.25,2.8,1,3.25,0.8,1,0.75,2,0,2.5,1.2,0,1.5,0.2,0,0.25,1,0,1.25,5,3,3,2,1,0,1,0,0,0,0,0,4,3,3,2,1,0,0,2,2,3,4,5,0,1,1,1,1,1,0,1,1,2,3,4,100,60,60,40,20,0,100,0,0,0,0,0,100,75,75,50,25,0,0,40,40,60,80,100,0,100,100,100,100,100,0,25,25,50,75,100,4,2,0,0,0,0,4,2,0,80,40,0,0,0,0,100,50,0,20,100,0,63,20,100,0,40,0,50,40,0,50,40,100,25,1,1,0,20,100,0,4,1,3,80,100,75,1,0,1,20,0,25,0,0,0,40,100,25,60,0,75,3.80,7.00,3.00,2.2,1,2.50,100,80,60,0,0,0,0,0,1.03,0.00,1.55,1.32,0.00,1.82,100,0,0,1,0,1,1,1,0,0,1,0,0,2,3,1,2,0,1,20,0,25,60,0,75,0
Czech Republic National Team,Czech Republic,2017,Czech Republic,3,0,3,0,2,0,2,0,0,0,1,0,1,2,0,2,0,0,0,46,4,3,1,7,0,7,0,4,0,3,0,1,68,0,68,90,0,90,1,0,1,2,0,2,0,0,0,2,0,2,15,0,15,3,0,3,52,0,52,30,0,30,12,0,12,18,0,18,56,0,56,3,0,3,1,0,1,2,0,2,2,0,2,1,0,1,0,0,0,2.33,0,2.33,2.33,0,2.33,1.33,0,1.33,1,0,1,1.33,0,1.33,1,0,1,0.33,0,0.33,3,2,2,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,1,1,3,3,3,0,0,0,0,0,0,0,1,1,3,3,3,100,67,67,0,0,0,0,0,0,0,0,0,100,67,67,0,0,0,0,33,33,100,100,100,0,0,0,0,0,0,0,33,33,100,100,100,3,1,0,0,0,0,3,1,0,100,33,0,0,0,0,100,33,0,67,0,67,0,33,0,33,67,0,67,0,0,0,67,0,67,2,0,2,67,0,67,0,0,0,0,0,0,1,0,1,33,0,33,67,0,67,33,0,33,0,0,0,5.00,0.00,5.00,1,0,1.00,67,67,67,67,67,67,0,0,1.19,0.00,1.71,1.08,0.00,1.58,67,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,33,0,33,0
Montenegro National Team,Montenegro,2017,Montenegro,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,159,1,2,-1,3,3,0,1,0,2,0,-1,0,90,90,0,45,45,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,1,1,0,50,50,0,14,14,0,7,7,0,7,7,0,12,12,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3,3,0,1,1,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,2.00,2.00,0.00,1,1,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,100,100,0,0
Switzerland National Team,Switzerland,2017,Switzerland,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,122,1,0,1,1,1,0,1,0,0,0,1,0,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,6,6,0,1,1,0,50,50,0,7,7,0,3,3,0,4,4,0,12,12,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,6.00,6.00,0.00,1,1,0.00,100,100,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia National Team,Serbia,2017,Serbia,3,0,3,0,1,0,1,2,0,2,0,0,0,1.67,0,1.67,0,0,0,69,3,1,2,4,0,4,0,3,0,1,0,2,90,0,90,273,0,273,2,0,2,1,0,1,1,0,1,2,0,2,17,0,17,2,0,2,50,0,50,29,0,29,15,0,15,14,0,14,23,0,23,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,1.67,0,1.67,1.33,0,1.33,1,0,1,0.33,0,0.33,0.33,0,0.33,0.33,0,0.33,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,3,3,3,3,0,0,0,0,0,0,1,1,3,3,3,3,67,67,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,33,33,100,100,100,100,0,0,0,0,0,0,33,33,100,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,33,0,0,33,0,33,0,67,0,67,33,0,33,33,0,33,67,0,67,3,0,3,100,0,100,2,0,2,67,0,67,0,0,0,0,0,0,33,0,33,67,0,67,0,0,0,5.67,0.00,5.67,0.67,0,0.67,100,100,100,67,33,33,33,33,1.26,0.00,1.77,1.37,0.00,1.87,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,67,0,67,0,0,0,33
Andorra National Team,Andorra,2017,Andorra,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,0,0,103,2,1,1,3,1,2,0,2,1,0,-1,2,90,0,45,180,90,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,1,3,1.5,1,2,1,0,2,0.5,1,0,0.5,0,1,0.5,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,50,0,100,-100,50,0,100,0,0,0,50,100,0,50,0,100,2,1,1,100,100,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,50,100,0,0,0,0,0.00,0.00,0.00,1.5,2,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,100,0,0
Austria National Team,Austria,2017,Austria,2,2,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,90,3,2,1,5,5,0,3,0,2,0,1,0,60,60,0,90,90,0,0,0,0,2,2,0,0,0,0,2,2,0,8,8,0,0,0,0,53,53,0,23,23,0,12,12,0,11,11,0,21,21,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,2.5,2.5,0,1.5,1.5,0,1,1,0,1,1,0,0.5,0.5,0,0.5,0.5,0,2,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,2,2,2,0,0,0,0,0,0,100,100,50,0,0,0,100,100,50,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,0,0,50,100,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,50,50,0,50,50,0,0,0,0,50,50,0,0,0,0,0,100,100,0,0,0,0,100,100,0,1,1,0,50,50,0,1,1,0,50,50,0,1,1,0,50,50,0,0,0,0,100,100,0,0,0,0,4.00,4.00,0.00,0,0,0.00,50,50,50,50,0,0,0,0,0.53,1.56,0.00,0.24,1.24,0.00,50,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,50,50,0,0,0,0,0
San Marino National Team,San Marino,2017,San Marino,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,170,0,12,-12,12,4,8,0,0,4,8,-4,-8,0,0,0,23,45,11,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,50,0,50,3,0,3,3,0,3,0,0,0,13,0,13,0,0,0,6,2,4,-6,-2,-4,0,0,0,0,0,0,3,2,1,0,0,0,4,2,8,0,0,0,4,2,8,2,1,4,0,0,0,2,1,4,3,3,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,1,0,0,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,0,100,100,33,33,33,33,100,100,0,0,0,0,100,100,100,100,100,100,0,0,67,67,67,67,0,0,100,100,100,100,0,0,0,0,0,0,3,1,1,2,0,0,1,1,1,100,33,33,100,0,0,100,100,100,0,0,0,25,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0.00,0.00,0.00,0,0,0.00,100,100,100,100,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,200,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1,2,1,0,0,0,0,100,100,100,0
