team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2020/2021,Finland,6,3,3,0,4,2,2,0,0,0,2,1,1,2,2,2,2,0,0,10,7,5,2,12,4,8,3,4,1,4,2,0,77,90,68,108,273,68,3,2,1,2,0,2,1,1,0,4,2,2,17,8,9,10,4,6,45,50,40,34,13,21,15,5,10,19,8,11,62,32,30,2,0,2,1,0,1,1,0,1,1,0,1,4,3,1,1,0,1,1.17,1,1.33,2,1.33,2.67,1.17,1,1.33,0.83,0.33,1.33,0.5,0,1,0.33,0,0.67,0.17,0,0.33,6,3,2,1,0,0,3,1,0,0,0,0,3,2,2,1,0,0,0,3,4,5,6,6,0,2,3,3,3,3,0,1,1,2,3,3,100,50,33,17,0,0,100,33,0,0,0,0,100,67,67,33,0,0,0,50,67,83,100,100,0,67,100,100,100,100,0,33,33,67,100,100,2,1,0,0,0,0,2,1,0,33,17,0,0,0,0,67,33,0,67,67,67,23,50,67,33,33,0,67,17,33,0,67,67,67,5,3,2,83,100,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,67,100,33,17,0,33,2.83,2.67,3.00,1.67,1.33,2.00,67,67,33,17,0,0,0,0,0.73,0.63,0.83,1.44,1.06,1.81,33,1,0,0,0,1,1,4,0,0,0,0,1,0,1,0,1,1,1,0,0,0,33,33,33,0
Iceland National Team,Iceland,2020/2021,Iceland,6,3,3,0,0,0,0,0,0,0,6,3,3,0,0,0,4,0,0,55,3,17,-14,20,7,13,1,2,6,11,-5,-9,180,273,134,32,45,25,0,0,0,3,1,2,3,2,1,1,0,1,16,10,6,12,4,8,35,36,35,28,14,14,14,7,7,14,7,7,68,36,32,2,1,1,8,3,5,-6,-2,-4,0,0,0,1,1,0,5,2,3,0.17,0.33,0,3.33,2.33,4.33,0.5,0.33,0.67,2.83,2,3.67,1.67,1.33,2,0.33,0.33,0.33,1.33,1,1.67,6,5,5,2,1,1,3,2,2,0,0,0,3,3,3,2,1,1,0,1,1,4,5,5,0,1,1,3,3,3,0,0,0,1,2,2,100,83,83,33,17,17,100,67,67,0,0,0,100,100,100,67,33,33,0,17,17,67,83,83,0,33,33,100,100,100,0,0,0,33,67,67,5,3,2,2,1,1,3,2,1,83,50,33,67,33,33,100,67,33,0,0,0,-3,0,0,0,50,33,67,50,67,33,17,0,33,1,1,0,17,33,0,4,2,2,67,67,67,2,1,1,33,33,33,0,0,0,17,33,0,83,67,100,2.67,3.33,2.00,2,1.33,2.67,83,83,67,67,33,33,33,17,0.50,0.51,0.49,1.32,1.04,1.59,117,1,1,0,0,0,0,0,0,1,1,4,1,1,3,0,2,2,3,0,0,0,100,100,100,17
Gibraltar National Team,Gibraltar,2020/2021,Gibraltar,4,2,2,0,2,1,1,2,1,1,0,0,0,2,2,2,1,0,0,32,3,1,2,4,3,1,2,1,1,0,1,1,120,90,180,360,180,0,3,1,2,1,1,0,1,0,1,3,2,1,17,7,10,12,2,10,49,45,52,37,18,19,12,4,8,25,14,11,54,28,26,3,2,1,1,1,0,2,1,1,2,1,1,2,1,1,0,0,0,2,2,2,1,1.5,0.5,0.75,1,0.5,0.25,0.5,0,1,1.5,0.5,0.75,1,0.5,0.25,0.5,0,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,3,4,4,4,4,0,1,2,2,2,2,1,2,2,2,2,2,75,25,0,0,0,0,100,50,0,0,0,0,50,0,0,0,0,0,25,75,100,100,100,100,0,50,100,100,100,100,50,100,100,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,50,50,50,-34,75,50,100,25,50,0,25,0,50,75,100,50,3,1,2,75,50,100,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,50,50,50,0,0,0,4.25,3.50,5.00,3,1,5.00,50,50,50,25,0,0,0,0,1.11,1.02,1.21,1.11,0.73,1.50,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50,50,50,0,0,0,0
Belarus National Team,Belarus,2020/2021,Belarus,6,3,3,0,3,2,1,1,0,1,2,1,1,1.67,2,1.33,2,0,0,22,10,8,2,18,6,12,4,6,2,6,2,0,54,68,45,68,134,45,2,2,0,3,0,3,1,1,0,3,2,1,34,16,18,10,2,8,51,47,54,43,20,23,23,12,11,20,8,12,91,43,48,4,3,1,5,1,4,-1,2,-3,2,2,0,1,0,1,3,1,2,1.17,2,0.33,3,2,4,1.67,1.33,2,1.33,0.67,2,1.5,1.33,1.67,0.67,1,0.33,0.83,0.33,1.33,6,6,3,2,1,0,3,3,0,0,0,0,3,3,3,2,1,0,0,0,3,4,5,6,0,0,3,3,3,3,0,0,0,1,2,3,100,100,50,33,17,0,100,100,0,0,0,0,100,100,100,67,33,0,0,0,50,67,83,100,0,0,100,100,100,100,0,0,0,33,67,100,5,2,1,3,1,0,2,1,1,83,33,17,100,33,0,67,33,33,50,67,33,15,33,67,0,50,0,100,17,33,0,50,67,33,3,2,1,50,67,33,3,1,2,50,33,67,1,0,1,17,0,33,33,67,0,17,0,33,50,33,67,5.67,5.33,6.00,1.67,0.67,2.67,100,67,50,50,33,17,17,17,1.09,1.02,1.16,0.85,0.91,0.79,83,1,1,0,2,0,2,1,1,2,1,1,2,0,1,0,1,2,0,17,0,33,33,33,33,17
Czech Republic National Team,Czech Republic,2020/2021,Czech Republic,6,3,3,0,4,2,2,0,0,0,2,1,1,2,2,2,1,0,0,11,9,5,4,14,6,8,4,5,2,3,2,2,60,68,54,108,134,90,2,2,0,3,1,2,1,0,1,5,3,2,38,16,22,7,3,4,59,55,63,75,35,40,25,14,11,50,21,29,101,54,47,4,3,1,2,1,1,2,2,0,3,2,1,2,1,1,1,0,1,1.83,2.33,1.33,2.33,2,2.67,1.5,1.33,1.67,0.83,0.67,1,1,1.33,0.67,0.67,1,0.33,0.33,0.33,0.33,6,4,3,1,0,0,3,2,1,0,0,0,3,2,2,1,0,0,0,2,3,5,6,6,0,1,2,3,3,3,0,1,1,2,3,3,100,67,50,17,0,0,100,67,33,0,0,0,100,67,67,33,0,0,0,33,50,83,100,100,0,33,67,100,100,100,0,33,33,67,100,100,5,1,0,3,1,0,2,0,0,83,17,0,100,33,0,67,0,0,67,67,67,4,33,67,0,50,33,67,17,0,33,83,100,67,4,2,2,67,67,67,2,0,2,33,0,67,1,1,0,17,33,0,50,67,33,33,33,33,17,0,33,6.33,5.33,7.33,1.17,1,1.33,50,50,33,33,33,33,33,17,1.74,1.56,1.90,0.84,0.96,0.71,50,1,3,0,0,2,2,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,33,33,33,17
Montenegro National Team,Montenegro,2020/2021,Montenegro,6,3,3,0,4,2,2,1,0,1,1,1,0,2.17,2,2.33,1,0,0,9,10,2,8,12,9,3,7,3,2,0,5,3,54,39,90,273,134,0,5,2,3,1,1,0,1,0,1,5,3,2,19,9,10,21,12,9,48,47,49,42,20,22,22,12,10,20,8,12,87,53,34,5,5,0,1,1,0,4,4,0,2,2,0,4,1,3,0,0,0,1.67,2.33,1,2,3,1,1.67,2.33,1,0.33,0.67,0,1,2,0,0.83,1.67,0,0.17,0.33,0,5,4,2,1,0,0,3,3,2,1,0,0,2,1,0,0,0,0,1,2,4,5,6,6,0,0,1,2,3,3,1,2,3,3,3,3,83,67,33,17,0,0,100,100,67,33,0,0,67,33,0,0,0,0,17,33,67,83,100,100,0,0,33,67,100,100,33,67,100,100,100,100,3,2,1,3,2,1,0,0,0,50,33,17,100,67,33,0,0,0,67,67,67,-32,83,67,100,17,33,0,17,0,33,83,100,67,5,2,3,83,67,100,3,0,3,50,0,100,1,1,0,17,33,0,33,67,0,67,33,100,0,0,0,3.17,3.00,3.33,3.5,4,3.00,83,33,0,0,0,0,0,0,0.89,0.91,0.86,1.31,1.20,1.42,33,1,1,2,1,0,2,0,2,1,0,0,0,0,1,0,0,0,1,17,0,33,17,33,0,0
Switzerland National Team,Switzerland,2020/2021,Switzerland,6,3,3,0,1,1,0,3,2,1,2,0,2,1,1.67,0.33,3,0,0,38,9,8,1,17,7,10,5,4,2,6,3,-2,60,54,68,68,134,45,1,1,0,4,2,2,1,0,1,3,2,1,16,6,10,13,5,8,45,43,46,44,23,21,20,9,11,24,14,10,63,25,38,4,1,3,4,1,3,0,0,0,2,1,1,1,0,1,2,1,1,1.4,1.5,1.33,2.83,2.33,3.33,1.5,1.67,1.33,1.33,0.67,2,1.6,1,2,0.8,0.5,1,0.8,0.5,1,6,5,3,1,1,1,3,3,1,0,0,0,3,2,2,1,1,1,0,1,3,5,5,5,0,0,2,3,3,3,0,1,1,2,2,2,100,83,50,17,17,17,100,100,33,0,0,0,100,67,67,33,33,33,0,17,50,83,83,83,0,0,67,100,100,100,0,33,33,67,67,67,5,2,1,2,0,0,3,2,1,100,40,20,100,0,0,100,67,33,17,33,0,31,17,33,0,67,67,67,17,0,33,50,67,33,1,1,0,20,50,0,2,1,1,40,50,33,2,0,2,40,0,67,40,50,33,20,0,33,40,50,33,3.20,3.00,3.33,2.6,2.5,2.67,100,80,60,40,40,20,0,0,1.13,1.30,1.02,1.41,1.55,1.32,100,1,0,2,0,1,2,0,0,0,0,3,1,0,0,2,1,0,1,50,67,33,33,0,67,0
Serbia National Team,Serbia,2020/2021,Serbia,6,3,3,0,1,1,0,3,1,2,2,1,1,1,1.33,0.67,3,0,0,37,9,7,2,16,6,10,5,4,1,6,4,-2,60,54,68,77,273,45,2,2,0,3,0,3,2,2,0,3,1,2,35,19,16,17,9,8,51,51,50,57,20,37,25,10,15,32,10,22,71,37,34,6,4,2,2,1,1,4,3,1,2,1,1,3,1,2,1,1,0,1.5,1.33,1.67,2.67,2,3.33,1.5,1.67,1.33,1.17,0.33,2,1.33,1.67,1,1,1.33,0.67,0.33,0.33,0.33,5,4,3,3,1,0,2,1,1,1,1,0,3,3,2,2,0,0,1,2,3,3,5,6,1,2,2,2,2,3,0,0,1,1,3,3,83,67,50,50,17,0,67,33,33,33,33,0,100,100,67,67,0,0,17,33,50,50,83,100,33,67,67,67,67,100,0,0,33,33,100,100,4,2,1,2,1,1,2,1,0,67,33,17,67,33,33,67,33,0,17,33,0,42,33,67,0,50,0,100,33,67,0,50,33,67,4,2,2,67,67,67,3,2,1,50,67,33,1,0,1,17,0,33,33,33,33,50,33,67,17,33,0,5.83,6.33,5.33,2.83,3,2.67,100,67,67,50,50,50,17,0,1.18,0.92,1.42,1.32,1.40,1.24,67,1,1,2,1,2,0,1,1,0,0,1,0,1,1,1,1,1,1,50,33,67,33,33,33,0
Andorra National Team,Andorra,2020/2021,Andorra,6,3,3,0,0,0,0,2,1,1,4,2,2,0.33,0.33,0.33,4,0,0,51,1,11,-10,12,6,6,0,1,6,5,-6,-4,529,0,273,49,45,54,2,1,1,1,0,1,5,3,2,1,0,1,16,12,4,23,12,11,37,37,37,31,17,14,12,7,5,19,10,9,119,63,56,1,0,1,4,2,2,-3,-2,-1,1,0,1,2,1,1,3,2,1,0.83,0.33,1.33,2,2,2,0.17,0,0.33,1.83,2,1.67,0.83,0.67,1,0.17,0,0.33,0.67,0.67,0.67,4,3,2,2,1,0,2,1,1,1,1,0,2,2,1,1,0,0,2,3,4,4,5,6,1,2,2,2,2,3,1,1,2,2,3,3,67,50,33,33,17,0,67,33,33,33,33,0,67,67,33,33,0,0,33,50,67,67,83,100,33,67,67,67,67,100,33,33,67,67,100,100,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,0,0,0,-55,33,33,33,17,0,33,83,100,67,17,0,33,3,1,2,50,33,67,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,33,33,33,50,67,33,2.67,4.00,1.33,3.83,4,3.67,67,67,50,33,17,0,0,0,0.54,0.58,0.50,1.29,1.00,1.57,50,1,0,0,0,0,0,0,0,0,1,1,0,2,0,4,1,0,2,33,33,33,67,67,67,0
Austria National Team,Austria,2020/2021,Austria,6,3,3,0,4,1,3,1,1,0,1,1,0,2.17,1.33,3,1,0,0,7,9,6,3,15,10,5,5,4,5,1,0,3,60,54,68,90,54,273,2,0,2,4,3,1,0,0,0,3,0,3,39,27,12,10,3,7,57,58,55,67,37,30,26,12,14,41,25,16,72,37,35,3,1,2,1,1,0,2,0,2,2,0,2,4,3,1,0,0,0,1.67,1,2.33,2.5,3.33,1.67,1.5,1.67,1.33,1,1.67,0.33,0.67,0.67,0.67,0.5,0.33,0.67,0.17,0.33,0,6,4,3,1,1,0,3,3,2,1,1,0,3,1,1,0,0,0,0,2,3,5,5,6,0,0,1,2,2,3,0,2,2,3,3,3,100,67,50,17,17,0,100,100,67,33,33,0,100,33,33,0,0,0,0,33,50,83,83,100,0,0,33,67,67,100,0,67,67,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,33,33,0,67,0,0,67,33,100,-28,33,0,67,67,100,33,0,0,0,50,0,100,5,2,3,83,67,100,3,2,1,50,67,33,1,1,0,17,33,0,33,0,67,67,100,33,0,0,0,6.50,9.00,4.00,1.67,1,2.33,67,67,50,50,50,50,0,0,1.47,1.56,1.39,0.74,0.74,0.73,67,0,1,0,1,1,1,0,2,3,1,0,0,0,0,1,3,1,0,17,33,0,17,33,0,0
