team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2021,Finland,4,2,2,0,0,0,0,1,1,0,3,1,2,0.25,0.5,0,0,0,0,104,2,6,-4,8,1,7,0,2,1,5,-1,-3,180,0,90,60,180,36,1,1,0,1,0,1,3,2,1,0,0,0,17,11,6,4,2,2,49,55,43,25,10,15,7,2,5,18,8,10,36,17,19,2,0,2,2,0,2,0,0,0,1,0,1,2,2,0,1,0,1,1.25,1,1.5,2,0.5,3.5,0.5,0,1,1.5,0.5,2.5,1,0,2,0.5,0,1,0.5,0,1,3,2,1,1,1,0,1,0,0,0,0,0,2,2,1,1,1,0,1,2,3,3,3,4,1,2,2,2,2,2,0,0,1,1,1,2,75,50,25,25,25,0,50,0,0,0,0,0,100,100,50,50,50,0,25,50,75,75,75,100,50,100,100,100,100,100,0,0,50,50,50,100,2,1,1,0,0,0,2,1,1,50,25,25,0,0,0,100,50,50,0,0,0,-17,25,50,0,25,0,50,75,100,50,0,0,0,2,2,0,50,100,0,3,2,1,75,100,50,1,0,1,25,0,50,25,0,50,50,100,0,25,0,50,4.25,5.50,3.00,1,1,1.00,75,25,25,25,25,25,25,0,0.86,0.75,0.97,1.53,1.02,2.05,50,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,25,50,0,75,50,100,0
Iceland National Team,Iceland,2021,Iceland,3,0,3,0,1,0,1,1,0,1,1,0,1,1.33,0,1.33,0,0,0,53,4,4,0,8,0,8,0,4,0,4,0,0,68,0,68,68,0,68,1,0,1,2,0,2,0,0,0,3,0,3,6,0,6,5,0,5,39,0,39,18,0,18,11,0,11,7,0,7,35,0,35,2,0,2,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,1.67,0,1.67,2.67,0,2.67,1.33,0,1.33,1.33,0,1.33,1,0,1,0.67,0,0.67,0.33,0,0.33,3,2,2,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,1,1,2,3,3,0,0,0,0,0,0,0,1,1,2,3,3,100,67,67,33,0,0,0,0,0,0,0,0,100,67,67,33,0,0,0,33,33,67,100,100,0,0,0,0,0,0,0,33,33,67,100,100,2,1,0,0,0,0,2,1,0,67,33,0,0,0,0,67,33,0,33,0,33,0,33,0,33,67,0,67,0,0,0,100,0,100,2,0,2,67,0,67,1,0,1,33,0,33,1,0,1,33,0,33,33,0,33,67,0,67,0,0,0,2.00,0.00,2.00,1.67,0,1.67,100,100,67,33,0,0,0,0,0.63,0.00,0.96,1.45,0.00,1.78,100,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,33,0,33,33,0,33,0
Belarus National Team,Belarus,2021,Belarus,3,3,0,0,1,1,0,1,1,0,1,1,0,1.33,1.33,0,0,0,0,62,3,3,0,6,6,0,3,0,3,0,0,0,90,90,0,90,90,0,1,1,0,2,2,0,0,0,0,3,3,0,13,13,0,8,8,0,46,46,0,26,26,0,13,13,0,13,13,0,46,46,0,2,2,0,1,1,0,1,1,0,1,1,0,2,2,0,0,0,0,1.67,1.67,0,2,2,0,1,1,0,1,1,0,1,1,0,0.67,0.67,0,0.33,0.33,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,1,2,3,3,3,0,0,0,0,0,0,100,67,33,0,0,0,100,67,33,0,0,0,0,0,0,0,0,0,0,33,67,100,100,100,0,33,67,100,100,100,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,67,33,0,67,33,0,0,0,0,33,33,0,0,33,33,0,67,67,0,0,0,0,100,100,0,2,2,0,67,67,0,1,1,0,33,33,0,1,1,0,33,33,0,33,33,0,67,67,0,0,0,0,4.33,4.33,0.00,2.67,2.67,0.00,100,100,67,67,67,33,0,0,0.96,1.29,0.00,1.06,1.39,0.00,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,33,33,0,33,33,0,0
Czech Republic National Team,Czech Republic,2021,Czech Republic,4,3,1,0,2,2,0,1,1,0,1,0,1,1.75,2.33,0,0,0,0,23,11,6,5,17,13,4,11,0,2,4,9,-4,33,25,0,60,134,23,1,1,0,2,2,0,1,0,1,2,2,0,26,24,2,3,3,0,57,63,38,63,52,11,30,28,2,33,24,9,45,34,11,3,3,0,4,2,2,-1,1,-2,1,1,0,1,1,0,2,1,1,1,1.33,0,4.25,4.33,4,2.75,3.67,0,1.5,0.67,4,1.75,1.67,2,0.75,1,0,1,0.67,2,4,4,3,3,1,1,3,3,2,2,1,1,1,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2,0,0,0,0,1,1,100,100,75,75,25,25,100,100,67,67,33,33,100,100,100,100,0,0,0,0,25,25,75,75,0,0,33,33,67,67,0,0,0,0,100,100,4,3,0,3,2,0,1,1,0,100,75,0,100,67,0,100,100,0,50,67,0,44,25,33,0,50,67,0,25,0,100,50,67,0,1,1,0,25,33,0,2,1,1,50,33,100,1,1,0,25,33,0,25,33,0,25,33,0,50,33,100,6.50,8.00,2.00,0.75,1,0.00,100,100,75,75,50,25,25,0,2.27,2.64,1.13,1.10,0.80,1.99,150,0,1,1,0,2,2,1,0,4,0,0,2,0,2,0,1,1,0,25,33,0,25,0,100,0
Montenegro National Team,Montenegro,2021,Montenegro,2,1,1,0,0,0,0,1,0,1,1,1,0,0.5,0,1,0,0,0,108,1,3,-2,4,4,0,1,0,3,0,-2,0,180,90,0,60,30,0,1,0,1,1,1,0,1,0,1,0,0,0,11,4,7,2,0,2,48,47,49,18,8,10,7,4,3,11,4,7,29,17,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2,4,0,0.5,1,0,1.5,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,1,1,1,50,50,50,50,0,0,100,100,100,100,0,0,0,0,0,0,0,0,50,50,50,50,100,100,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,5.50,4.00,7.00,1,0,2.00,100,50,50,50,50,0,0,0,1.30,1.23,1.37,1.30,1.33,1.27,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,50,0,100,50,100,0,0
Switzerland National Team,Switzerland,2021,Switzerland,4,4,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,8,14,4,10,18,18,0,14,0,4,0,10,0,26,26,0,90,90,0,1,1,0,3,3,0,0,0,0,3,3,0,24,24,0,1,1,0,60,60,0,78,78,0,33,33,0,45,45,0,51,51,0,4,4,0,4,4,0,0,0,0,1,1,0,2,2,0,1,1,0,1.25,1.25,0,4.5,4.5,0,3.5,3.5,0,1,1,0,2,2,0,1,1,0,1,1,0,4,4,4,2,2,1,4,4,4,2,2,1,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,2,2,3,0,0,0,0,0,0,100,100,100,50,50,25,100,100,100,50,50,25,0,0,0,0,0,0,0,0,0,50,50,75,0,0,0,50,50,75,0,0,0,0,0,0,4,3,1,4,3,1,0,0,0,100,75,25,100,75,25,0,0,0,100,100,0,0,25,25,0,75,75,0,0,0,0,75,75,0,1,1,0,25,25,0,0,0,0,0,0,0,3,3,0,75,75,0,25,25,0,50,50,0,25,25,0,6.00,6.00,0.00,0.25,0.25,0.00,75,50,25,25,25,25,25,25,2.30,2.57,0.00,0.86,1.11,0.00,175,2,1,1,0,1,3,2,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Serbia National Team,Serbia,2021,Serbia,6,2,4,0,2,1,1,3,1,2,1,0,1,1.5,2,1.25,0,0,0,16,9,2,7,11,6,5,5,4,1,1,4,3,60,36,90,273,180,360,4,1,3,1,1,0,3,0,3,2,1,1,16,9,7,9,3,6,52,58,48,47,22,25,22,11,11,25,11,14,33,14,19,3,1,2,1,1,0,2,0,2,2,1,1,3,0,3,1,1,0,1.5,1.5,1.5,1.83,3,1.25,1.5,2.5,1,0.33,0.5,0.25,0.67,1,0.5,0.5,0.5,0.5,0.17,0.5,0,4,3,2,2,0,0,2,2,1,1,0,0,2,1,1,1,0,0,2,3,4,4,6,6,0,0,1,1,2,2,2,3,3,3,4,4,67,50,33,33,0,0,100,100,50,50,0,0,50,25,25,25,0,0,33,50,67,67,100,100,0,0,50,50,100,100,50,75,75,75,100,100,3,1,0,2,0,0,1,1,0,50,17,0,100,0,0,25,25,0,33,50,25,8,67,50,75,17,50,0,50,0,75,33,50,25,5,1,4,83,50,100,4,1,3,67,50,75,0,0,0,0,0,0,33,50,25,50,0,75,17,50,0,3.20,4.50,2.33,1.5,1.5,1.50,40,20,20,20,20,20,20,0,1.17,1.43,1.00,1.20,1.23,1.18,33,1,1,0,0,1,3,1,0,2,0,0,1,0,1,0,0,0,0,50,50,50,17,0,25,0
Austria National Team,Austria,2021,Austria,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,110,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,180,0,90,1,1,0,0,0,0,2,1,1,0,0,0,12,8,4,3,0,3,52,49,55,28,17,11,10,7,3,18,10,8,33,13,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0.5,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,100,100,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,6.00,8.00,4.00,1.5,0,3.00,100,100,0,0,0,0,0,0,1.76,2.21,1.31,1.20,1.15,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,100,0,50,0,100,0
Georgia National Team,Georgia,2021,Georgia,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,0,0,0,34,4,8,-4,12,1,11,1,3,0,8,1,-5,90,90,90,45,0,34,1,1,0,2,0,2,1,0,1,2,1,1,13,2,11,10,3,7,45,43,46,45,12,33,21,7,14,24,5,19,52,8,44,1,1,0,4,0,4,-3,1,-4,1,1,0,1,0,1,2,0,2,1,3,0.33,3,1,3.67,1,1,1,2,0,2.67,1.25,1,1.33,0.25,1,0,1,0,1.33,4,3,3,1,1,0,1,0,0,0,0,0,3,3,3,1,1,0,0,1,1,3,3,4,0,1,1,1,1,1,0,0,0,2,2,3,100,75,75,25,25,0,100,0,0,0,0,0,100,100,100,33,33,0,0,25,25,75,75,100,0,100,100,100,100,100,0,0,0,67,67,100,3,1,1,1,0,0,2,1,1,75,25,25,100,0,0,67,33,33,50,100,33,50,25,100,0,50,0,67,25,0,33,50,100,33,2,1,1,50,100,33,3,0,3,75,0,100,0,0,0,0,0,0,25,100,0,25,0,33,50,0,67,3.25,2.00,3.67,2.5,3,2.33,100,100,100,50,0,0,0,0,1.45,1.65,1.39,1.68,1.08,1.88,100,0,0,0,0,1,0,1,2,0,1,1,0,1,1,2,0,2,0,0,0,0,50,0,67,0
Spain National Team,Spain,2021,Spain,2,2,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,65,4,0,4,4,4,0,4,0,0,0,4,0,45,45,0,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,7,7,0,0,0,0,57,57,0,21,21,0,7,7,0,14,14,0,24,24,0,2,2,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0,2,2,0,2,2,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,2,2,0,0,0,0,0,0,50,50,50,50,0,0,50,50,50,50,0,0,0,0,0,0,0,0,50,50,50,50,100,100,50,50,50,50,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,50,50,0,50,50,0,0,0,0,50,50,0,0,100,100,0,0,0,0,50,50,0,50,50,0,2,2,0,100,100,0,1,1,0,50,50,0,0,0,0,0,0,0,50,50,0,50,50,0,0,0,0,3.50,3.50,0.00,0,0,0.00,50,0,0,0,0,0,0,0,0.29,1.19,0.00,0.00,0.99,0.00,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
